customer_id,frequency,monetary,recency,churned
12463,4,1344.78,53,0
12464,8,1212.05,10,0
12465,2,742.1899999999999,17,0
12466,1,56.73,682,1
12467,1,132.8,423,1
12468,5,3670.74,188,1
12469,2,3070.54,523,1
12470,1,211.95,690,1
12471,79,39963.79,2,0
12472,19,17880.59,32,0
12473,5,3938.5499999999997,29,0
12474,31,12424.45,17,0
12475,2,1149.64,54,0
12476,23,14115.41,16,0
12477,9,20276.37,23,0
12478,1,680.99,4,0
12479,1,527.2,11,0
12480,7,5464.85,28,0
12481,15,12361.39,23,0
12482,29,23691.4,576,1
12483,19,5120.58,17,0
12484,12,6370.15,33,0
12485,1,708.1,529,1
12486,1,1037.28,432,1
12487,1,285.29999999999995,731,1
12488,3,1298.66,10,0
12489,1,334.93,336,1
12490,21,9823.64,5,0
12491,1,460.40000000000003,39,0
12492,3,715.21,63,0
12493,2,433.74,166,1
12494,9,1872.8700000000001,16,0
12495,1,357.4,641,1
12496,2,54.09,620,1
12497,3,6248.5,82,0
12498,3,403.70000000000005,21,0
12499,1,393.72,560,1
12500,19,5955.21,23,0
12501,1,2169.39,337,1
12502,5,3723.87,96,1
12503,1,1126.0,584,1
12504,4,779.05,18,0
12505,1,955.2,409,1
12506,1,73.5,233,1
12507,4,1844.06,134,1
12508,2,398.27,26,0
12509,1,176.5,284,1
12510,9,5178.02,143,1
12511,1,3084.02,429,1
12512,2,138.03,66,0
12513,1,612.29,113,1
12514,2,1597.76,267,1
12515,1,383.7,353,1
12516,4,2648.62,78,0
12517,5,2502.84,28,0
12518,5,2056.89,1,0
12519,2,726.54,64,0
12520,5,2634.26,79,0
12521,1,599.68,143,1
12522,2,192.72,39,0
12523,23,4372.15,19,0
12524,17,11126.11,9,0
12525,3,973.73,498,1
12526,3,1316.66,1,0
12527,5,735.51,82,0
12528,6,1933.48,9,0
12529,1,316.48,528,1
12530,9,3759.26,60,0
12531,2,1933.2,15,0
12532,1,349.83000000000004,30,0
12533,2,1367.89,628,1
12534,1,1089.18,131,1
12535,2,716.35,92,1
12536,3,12601.830000000002,43,0
12537,1,732.94,409,1
12538,2,640.45,29,0
12539,7,11214.75,22,0
12540,33,22254.49,20,0
12541,3,981.18,30,0
12542,2,481.88,484,1
12543,1,980.25,448,1
12544,1,372.7,36,0
12545,2,1000.39,75,0
12546,2,1161.5,47,0
12547,3,383.58,198,1
12548,1,95.19999999999999,166,1
12549,6,1575.68,576,1
12550,1,964.83,79,0
12551,1,168.0,358,1
12552,2,437.82,39,0
12553,12,4608.75,8,0
12554,1,468.5,449,1
12555,1,129.23,682,1
12556,2,603.71,50,0
12557,8,18716.14,16,0
12558,1,269.96,8,0
12559,2,561.71,311,1
12560,3,2134.01,5,0
12561,1,238.85,303,1
12562,9,4966.92,8,0
12563,1,249.24,409,1
12564,1,456.9,261,1
12565,1,145.92,289,1
12566,1,351.65,86,0
12567,15,13709.86,23,0
12568,1,70.0,645,1
12569,32,4124.69,2,0
12570,1,77.52,682,1
12571,2,519.61,40,0
12572,2,1020.42,9,0
12573,5,717.41,227,1
12574,1,218.45,316,1
12575,2,622.8199999999999,457,1
12576,8,2142.72,36,0
12577,8,1653.75,35,0
12578,4,4642.45,21,0
12579,1,440.42,78,0
12580,2,1052.9,247,1
12581,1,197.71,40,0
12582,4,1980.4,239,1
12583,27,14447.44,3,0
12584,9,2338.15,4,0
12585,2,2040.1,234,1
12586,4,2062.67,17,0
12587,1,144.0,8,0
12588,4,958.78,39,0
12589,8,4695.66,29,0
12590,2,9864.26,211,1
12591,3,1352.15,317,1
12592,5,2582.66,92,1
12593,3,418.09999999999997,109,1
12594,15,5090.110000000001,38,0
12595,1,299.02,505,1
12596,2,618.27,51,0
12597,4,3811.22,19,0
12598,11,4534.09,10,0
12599,13,2296.72,29,0
12600,21,5043.92,29,0
12601,6,681.26,190,1
12602,1,153.12,59,0
12603,1,739.1999999999999,22,0
12604,2,254.18,79,0
12605,4,1232.95,376,1
12606,1,21.0,682,1
12607,1,1579.51,60,0
12608,1,415.79,405,1
12609,9,3435.86,78,0
12610,5,2099.54,23,0
12611,1,1193.32,52,0
12612,1,704.0400000000001,74,0
12613,10,6835.07,57,0
12614,1,315.6,278,1
12615,8,5740.98,2,0
12616,3,1131.1,95,1
12617,1,355.53,29,0
12618,1,177.31,22,0
12619,10,3781.38,16,0
12620,3,1339.41,15,0
12621,35,24775.81,2,0
12622,1,180.1,232,1
12623,7,3747.84,276,1
12624,2,641.13,106,1
12625,4,5164.88,212,1
12626,9,6620.48,23,0
12627,7,4478.53,11,0
12628,3,786.46,4,0
12629,2,1558.22,386,1
12630,2,1270.88,10,0
12631,6,3481.57,57,0
12632,2,804.88,521,1
12633,7,5678.16,59,0
12634,2,490.0,536,1
12635,4,2930.41,90,0
12636,1,141.0,739,1
12637,12,8340.31,67,0
12638,2,921.49,33,0
12639,3,1312.37,239,1
12640,3,1174.58,24,0
12641,1,185.9,115,1
12642,3,1013.26,25,0
12643,12,8350.42,128,1
12644,4,1918.49,130,1
12645,8,3539.3,34,0
12646,2,1346.97,5,0
12647,36,17924.35,22,0
12648,4,1112.0,155,1
12649,8,2294.65,107,1
12650,1,314.44,3,0
12651,4,377.75,335,1
12652,2,1017.03,331,1
12653,3,4160.83,149,1
12654,5,601.98,11,0
12655,1,261.35,424,1
12656,8,6407.83,17,0
12657,4,1643.18,11,0
12658,1,686.05,19,0
12659,1,91.68,30,0
12660,1,245.1,11,0
12661,1,162.0,436,1
12662,20,6988.02,1,0
12663,2,239.4,625,1
12664,11,6070.04,8,0
12665,3,313.6,325,1
12666,1,1248.42,394,1
12667,1,620.13,58,0
12668,10,11444.68,12,0
12669,3,2744.0299999999997,151,1
12670,7,3760.29,10,0
12671,1,2622.481,606,1
12672,2,437.05,330,1
12673,3,1230.02,5,0
12674,4,1970.6,39,0
12675,2,958.5,554,1
12676,11,2843.09,25,0
12677,2,395.1,555,1
12678,21,34281.18,42,0
12679,4,1113.02,59,0
12680,4,880.81,1,0
12681,45,30868.28,15,0
12682,52,24033.91,4,0
12683,21,12696.78,4,0
12684,7,2283.63,8,0
12685,6,2863.08,28,0
12686,1,178.28,372,1
12687,2,2138.91,481,1
12688,1,4873.8099999999995,114,1
12689,2,1247.61,26,0
12690,1,389.01,206,1
12691,7,1170.4,28,0
12692,1,110.95,637,1
12693,7,1703.02,127,1
12694,3,1843.35,70,0
12695,7,1407.1200000000001,7,0
12696,2,851.91,435,1
12697,3,957.59,29,0
12698,1,339.75,590,1
12699,1,638.11,418,1
12700,4,4939.99,8,0
12701,6,2446.41,80,0
12702,1,219.0,20,0
12703,4,1006.53,71,0
12704,8,2340.84,7,0
12705,14,11762.1,15,0
12707,1,603.42,292,1
12708,18,5314.1,30,0
12709,34,31093.34,15,0
12710,3,1149.02,97,1
12711,2,1339.05,612,1
12712,21,7193.66,29,0
12713,1,848.55,1,0
12714,12,14093.71,9,0
12715,1,353.86,106,1
12716,2,1053.49,4,0
12717,3,1308.91,151,1
12718,1,238.25,71,0
12719,2,644.95,5,0
12720,30,8260.67,3,0
12721,8,4013.08,32,0
12722,4,997.63,85,0
12723,5,725.07,4,0
12724,7,2317.52,5,0
12725,4,2694.56,371,1
12726,11,4014.6,28,0
12727,10,5679.53,11,0
12728,5,1070.17,71,0
12729,1,453.01,114,1
12730,1,829.25,522,1
12731,17,25775.71,24,0
12732,1,236.26000000000002,180,1
12733,4,2424.87,234,1
12734,3,639.65,353,1
12735,2,779.5699999999999,315,1
12736,1,234.0,333,1
12737,2,3710.5,499,1
12738,1,310.7,372,1
12739,4,2726.73,78,0
12740,1,427.6,64,0
12741,2,406.07,529,1
12742,1,1201.52,626,1
12743,2,546.43,134,1
12744,11,25317.06,52,0
12745,3,925.41,487,1
12746,1,254.55,541,1
12747,26,9276.539999999999,2,0
12748,336,56599.39,1,0
12749,9,6897.36,4,0
12750,1,275.88,129,1
12751,1,268.27,445,1
12752,1,4366.78,81,0
12753,6,21429.39,23,0
12754,3,3010.74,236,1
12755,11,9030.66,281,1
12756,1,112.07999999999998,87,0
12757,13,7857.1,16,0
12758,7,9903.24,117,1
12759,8,5020.74,52,0
12760,1,347.8,456,1
12761,2,782.95,458,1
12762,2,1898.52,8,0
12763,2,814.16,138,1
12764,1,1693.88,317,1
12765,6,1404.58,472,1
12766,9,10068.28,4,0
12767,1,949.82,376,1
12768,1,168.69000000000003,451,1
12769,1,1143.6,239,1
12770,2,3246.45,211,1
12771,1,282.3,486,1
12772,1,892.47,60,0
12773,1,124.25,564,1
12774,1,98.7,536,1
12775,7,1686.12,17,0
12776,1,55.5,668,1
12777,1,519.45,458,1
12778,9,1775.68,20,0
12779,14,6722.2699999999995,38,0
12780,1,337.4,599,1
12781,2,826.74,64,0
12782,11,4618.24,5,0
12783,6,2225.91,2,0
12784,3,1804.75,9,0
12785,3,1100.4,364,1
12786,1,728.5,610,1
12787,4,862.18,10,0
12788,4,444.9,463,1
12789,3,273.35,65,0
12790,2,591.85,192,1
12791,6,1056.1100000000001,374,1
12792,2,827.01,257,1
12793,3,1017.33,335,1
12794,2,860.41,53,0
12795,1,430.48,19,0
12796,1,381.0,628,1
12797,2,806.11,366,1
12798,4,8510.93,10,0
12799,1,219.35,529,1
12800,3,584.25,470,1
12801,1,1071.82,501,1
12802,7,2416.42,187,1
12803,1,1092.81,393,1
12804,2,327.02,466,1
12805,4,1434.95,382,1
12806,4,2878.96,435,1
12807,1,330.35,383,1
12808,5,906.1,37,0
12809,3,1755.94,178,1
12810,2,534.99,535,1
12811,5,1033.9,261,1
12812,1,229.64000000000001,45,0
12813,3,1687.8,502,1
12814,1,125.92,102,1
12815,2,1063.46,148,1
12816,2,572.2,96,1
12817,3,690.98,281,1
12818,1,1542.08,262,1
12819,1,540.52,458,1
12820,11,2689.52,3,0
12821,2,220.8,214,1
12822,2,948.88,71,0
12823,18,6501.5,75,0
12824,1,397.12,60,0
12825,2,518.63,521,1
12826,12,2955.75,3,0
12827,3,430.15000000000003,6,0
12828,6,1018.71,3,0
12829,3,385.3,337,1
12830,6,6814.64,38,0
12831,3,451.11,262,1
12832,2,383.03,32,0
12833,1,417.38,145,1
12834,1,312.38,283,1
12835,41,6043.31,428,1
12836,15,6585.62,59,0
12837,2,688.41,173,1
12838,10,3398.48,34,0
12839,26,10071.73,3,0
12840,7,4041.97,144,1
12841,40,7540.68,5,0
12842,4,1917.99,70,0
12843,30,6588.41,66,0
12844,4,648.6,29,0
12845,4,354.09,267,1
12846,1,15.58,682,1
12847,2,1636.8999999999999,22,0
12848,1,208.0,676,1
12849,6,3090.56,31,0
12850,1,330.0,446,1
12851,2,284.13,97,1
12852,1,311.55,295,1
12853,11,3907.5,135,1
12854,7,2994.02,79,0
12855,4,650.9399999999999,373,1
12856,6,2179.93,8,0
12857,6,3688.0,211,1
12858,1,177.92,383,1
12859,1,575.1,459,1
12860,1,55.47,693,1
12861,1,68.25,620,1
12862,2,1008.3199999999999,426,1
12863,6,2792.5499999999997,52,0
12864,2,299.57,138,1
12865,4,3323.47,26,0
12866,3,1227.35,283,1
12867,13,7913.29,26,0
12868,8,2247.06,186,1
12869,1,337.66999999999996,682,1
12870,3,1676.95,375,1
12871,3,744.02,84,0
12872,12,3685.4900000000002,327,1
12873,3,2027.3,282,1
12874,2,948.42,385,1
12875,5,1356.99,143,1
12876,4,4081.79,58,0
12877,20,2955.17,4,0
12878,2,854.99,236,1
12879,3,573.22,45,0
12880,2,640.13,382,1
12881,1,298.0,276,1
12882,2,1463.04,9,0
12883,4,703.47,25,0
12884,1,309.05,88,0
12885,3,1175.22,63,0
12886,2,1378.4,68,0
12887,1,222.4,384,1
12888,2,354.12,214,1
12889,4,385.46000000000004,381,1
12890,2,717.27,24,0
12891,11,840.5,186,1
12892,1,263.38,397,1
12893,1,188.14,31,0
12894,1,157.35,575,1
12895,2,372.8,42,0
12897,4,514.25,205,1
12898,2,310.96000000000004,464,1
12899,1,366.4,414,1
12900,1,340.33,422,1
12901,28,17654.54,9,0
12902,1,138.68,265,1
12903,1,833.53,429,1
12904,2,509.58,18,0
12905,2,1018.42,577,1
12906,5,2919.81,12,0
12907,2,508.91,396,1
12908,5,1776.0,176,1
12909,8,3103.19,40,0
12910,13,5796.52,23,0
12911,1,1680.47,552,1
12912,5,1662.3,3,0
12913,13,6700.860000000001,5,0
12914,1,223.98,401,1
12915,4,1174.75,149,1
12916,7,4654.0199999999995,139,1
12917,6,4359.2,128,1
12918,1,10953.5,626,1
12919,6,1335.19,8,0
12920,4,488.09000000000003,17,0
12921,74,35921.04,9,0
12922,1,405.38,161,1
12923,3,789.87,64,0
12924,12,2469.4,88,0
12925,3,729.3299999999999,5,0
12926,4,1548.46,411,1
12927,1,197.31,395,1
12928,12,4304.89,35,0
12929,1,117.85,312,1
12930,2,415.8,78,0
12931,57,92347.34,22,0
12932,8,1698.56,539,1
12933,8,1687.03,24,0
12934,1,181.65,737,1
12935,15,4243.86,2,0
12936,4,1063.9,17,0
12937,9,3097.61,15,0
12938,1,114.14,26,0
12939,20,25264.8,64,0
12940,2,913.54,55,0
12941,1,377.49,724,1
12942,3,942.65,131,1
12943,2,496.5,558,1
12944,2,604.51,36,0
12945,2,900.11,288,1
12946,1,324.45,437,1
12947,6,1908.03,144,1
12948,9,2317.43,16,0
12949,22,15526.7,31,0
12950,3,1843.0,2,0
12951,15,3213.7200000000003,9,0
12952,4,1387.79,6,0
12953,2,828.8100000000001,10,0
12954,1,162.45,639,1
12955,11,4757.16,1,0
12956,4,521.89,306,1
12957,13,8706.97,10,0
12958,2,539.49,400,1
12959,1,150.95,484,1
12960,4,1322.07,414,1
12961,1,211.99,379,1
12962,2,266.39,7,0
12963,12,3601.59,8,0
12964,1,132.24,437,1
12965,1,771.91,89,0
12966,1,160.18,10,0
12967,3,4306.92,358,1
12968,1,135.95,112,1
12969,1,122.45,603,1
12970,10,1524.97,7,0
12971,116,15972.79,4,0
12972,4,1161.2,414,1
12973,1,385.55,414,1
12974,2,408.95,198,1
12975,6,2100.09,437,1
12976,8,3156.38,212,1
12977,4,517.63,156,1
12978,5,2502.82,385,1
12979,1,517.7,729,1
12980,21,16245.78,158,1
12981,2,372.21999999999997,30,0
12982,8,2744.81,243,1
12983,1,490.08000000000004,598,1
12984,1,97.5,19,0
12985,2,1239.38,1,0
12986,10,2729.84,429,1
12987,5,1312.21,74,0
12988,1,535.32,292,1
12989,33,13551.75,3,0
12990,7,955.5,31,0
12991,3,764.82,23,0
12992,1,93.35000000000001,725,1
12993,8,1259.6299999999999,23,0
12994,3,974.4200000000001,4,0
12995,1,211.32,85,0
12996,1,355.5,376,1
12997,8,2110.91,22,0
12998,3,920.08,493,1
12999,3,455.88,196,1
13000,4,1032.5,107,1
13001,33,24172.100000000002,4,0
13002,3,414.13,318,1
13003,3,149.05,106,1
13004,36,11650.85,12,0
13005,4,999.68,174,1
13006,1,81.57,56,0
13007,1,175.25,580,1
13008,3,612.13,323,1
13009,1,234.0,673,1
13010,2,330.12,374,1
13011,1,101.10000000000001,372,1
13012,11,2972.83,9,0
13013,29,12625.77,1,0
13014,11,5381.08,11,0
13015,11,6586.42,53,0
13016,3,789.89,73,0
13017,1,204.0,7,0
13018,35,9763.16,16,0
13019,6,1229.95,379,1
13020,2,618.96,563,1
13021,17,4887.24,4,0
13022,1,65.3,430,1
13023,3,1449.03,64,0
13024,2,555.87,471,1
13025,1,323.39,732,1
13026,9,1733.08,1,0
13027,19,17335.2,114,1
13028,2,661.3199999999999,23,0
13029,5,1927.3,31,0
13030,2,1227.22,11,0
13031,5,3419.27,407,1
13032,9,2843.55,52,0
13033,2,220.55,357,1
13034,3,922.68,55,0
13035,3,1364.2,74,0
13036,1,307.1,685,1
13037,12,3914.9500000000003,138,1
13038,3,908.46,80,0
13039,4,1010.73,584,1
13040,2,676.99,9,0
13041,4,799.13,451,1
13042,3,1556.54,598,1
13043,1,516.42,273,1
13044,11,4853.9,291,1
13045,3,808.92,99,1
13046,3,949.25,31,0
13047,24,8795.16,32,0
13048,9,4084.21,14,0
13049,4,1408.24,64,0
13050,35,12344.53,15,0
13051,2,155.8,579,1
13052,7,3168.53,212,1
13053,1,127.65,622,1
13055,4,2321.11,78,0
13056,1,209.48,551,1
13057,3,722.09,530,1
13058,3,271.40000000000003,25,0
13059,10,2303.17,250,1
13060,1,307.53,254,1
13061,1,248.61,72,0
13062,1,346.98,191,1
13063,1,188.4,481,1
13064,6,1680.74,13,0
13065,5,1260.91,373,1
13066,2,470.8,24,0
13067,3,508.51,82,0
13068,2,344.0,10,0
13069,38,9683.13,1,0
13070,4,751.7,192,1
13071,1,129.22,612,1
13072,1,177.15,267,1
13073,2,418.08,411,1
13074,4,1378.74,511,1
13075,1,919.61,130,1
13076,1,135.4,458,1
13077,11,3064.67,1,0
13078,57,29532.45,3,0
13079,6,419.18,4,0
13080,4,280.73,179,1
13081,28,59205.15,12,0
13082,21,7335.75,126,1
13083,3,395.43,4,0
13084,1,122.39999999999999,492,1
13085,8,2433.28,158,1
13086,1,439.33000000000004,383,1
13087,1,313.64,726,1
13088,1,236.11,417,1
13089,203,116737.86,3,0
13090,24,14103.09,9,0
13091,3,2321.82,28,0
13092,12,2140.28,71,0
13093,55,54943.65,276,1
13094,13,2433.1200000000003,21,0
13095,1,74.39999999999999,71,0
13096,1,419.70000000000005,394,1
13097,28,13389.22,33,0
13098,28,28882.44,1,0
13099,1,207.35999999999999,99,1
13101,4,695.4,234,1
13102,37,11696.92,1,0
13103,3,709.64,40,0
13104,9,1709.1,3,0
13105,1,72.0,436,1
13106,2,603.46,133,1
13107,9,5253.07,44,0
13108,2,1098.52,373,1
13109,3,1134.03,60,0
13110,12,2957.4700000000003,31,0
13111,1,321.88000000000005,719,1
13112,1,20.6,541,1
13113,37,18625.73,1,0
13114,1,234.38,731,1
13115,10,5494.7,12,0
13116,1,501.14,138,1
13117,18,2643.81,22,0
13118,9,2415.41,20,0
13119,1,134.9,669,1
13120,1,30.599999999999998,239,1
13121,1,283.73,269,1
13122,2,922.39,94,1
13123,2,506.75,473,1
13124,4,4782.45,90,0
13125,1,158.57,524,1
13126,13,3998.25,5,0
13127,1,259.17,78,0
13128,1,263.5,631,1
13129,2,233.25,452,1
13130,1,64.0,94,1
13131,7,3313.77,23,0
13132,1,77.3,262,1
13133,3,200.45000000000002,274,1
13134,6,2475.23,86,0
13135,2,3371.45,197,1
13136,13,6274.56,56,0
13137,16,7712.7,11,0
13138,7,1467.24,22,0
13139,8,8202.98,16,0
13140,5,1215.68,108,1
13141,17,7668.58,85,0
13142,1,307.09,19,0
13143,1,405.1,585,1
13144,2,135.35,333,1
13145,7,1423.52,40,0
13146,1,228.91,26,0
13147,4,712.8000000000001,10,0
13148,26,8621.81,29,0
13149,4,1676.06,14,0
13150,3,449.96999999999997,484,1
13151,3,2580.7400000000002,296,1
13152,7,2146.38,417,1
13153,1,486.22,6,0
13154,3,1624.84,399,1
13155,6,1750.18,33,0
13156,3,1586.54,385,1
13157,9,5687.36,49,0
13158,5,1508.18,95,1
13159,4,1437.85,9,0
13160,1,91.8,22,0
13161,2,478.88,313,1
13162,16,9275.49,122,1
13163,1,17.65,610,1
13164,2,372.2,569,1
13165,3,1451.16,46,0
13166,2,884.18,283,1
13167,5,1125.15,19,0
13168,5,1875.31,36,0
13169,3,840.08,64,0
13170,1,116.00999999999999,27,0
13171,3,468.41,22,0
13172,1,69.6,400,1
13173,11,2639.35,4,0
13174,12,9494.84,16,0
13175,2,831.45,582,1
13176,1,492.84,46,0
13177,2,512.2,65,0
13178,21,14059.19,26,0
13179,1,572.3100000000001,619,1
13180,1,86.10000000000001,607,1
13181,1,359.69,381,1
13182,1,121.18,45,0
13183,15,7036.18,8,0
13184,10,1701.29,15,0
13185,1,71.4,268,1
13186,3,1575.89,40,0
13187,4,367.01,337,1
13188,1,114.60000000000001,11,0
13189,2,260.68,19,0
13190,3,570.66,544,1
13191,1,164.69,658,1
13192,6,2558.58,95,1
13193,1,117.88,61,0
13194,2,472.78,136,1
13195,1,172.38,414,1
13196,7,3068.84,11,0
13197,1,373.01000000000005,610,1
13198,8,4974.2300000000005,10,0
13199,67,16432.89,4,0
13200,4,870.09,19,0
13201,4,1240.6100000000001,502,1
13202,7,1580.3,394,1
13203,10,2648.25,10,0
13204,1,966.6600000000001,731,1
13205,1,2803.2,443,1
13206,13,8377.32,400,1
13207,4,535.86,15,0
13208,9,1988.5,59,0
13209,13,8509.51,30,0
13210,1,353.48,94,1
13211,10,2729.32,10,0
13212,3,788.08,20,0
13213,11,3851.52,57,0
13214,7,3264.23,418,1
13215,1,81.6,402,1
13216,1,333.74,268,1
13217,4,666.48,122,1
13218,1,62.63999999999999,127,1
13219,1,76.23,618,1
13220,5,1336.0900000000001,78,0
13221,2,847.41,240,1
13222,1,88.5,577,1
13223,6,969.1200000000001,200,1
13224,2,2155.95,60,0
13225,16,16260.07,3,0
13226,2,312.46,273,1
13227,1,257.7,202,1
13228,1,358.0,81,0
13229,1,160.95,226,1
13230,30,6360.78,4,0
13232,7,1357.6,13,0
13233,4,1176.46,74,0
13234,2,356.95,673,1
13235,1,1031.07,212,1
13236,2,744.85,25,0
13237,1,643.0,388,1
13238,6,1006.63,17,0
13239,5,1594.69,262,1
13240,8,1738.52,96,1
13241,1,115.58,412,1
13242,7,699.4,112,1
13243,5,1278.04,203,1
13244,1,121.74000000000001,93,1
13245,2,989.22,51,0
13246,11,3387.43,18,0
13247,4,501.12,18,0
13248,2,465.68,125,1
13249,9,1608.93,92,1
13250,2,256.04,461,1
13251,1,252.68,402,1
13252,2,399.3,394,1
13253,4,2951.11,157,1
13254,1,51.410000000000004,376,1
13255,3,904.46,9,0
13257,1,149.75,436,1
13258,5,1035.18,12,0
13259,9,1433.38,62,0
13260,1,557.62,61,0
13261,2,944.1,269,1
13262,3,573.45,263,1
13263,39,8704.69,1,0
13264,1,722.5600000000001,443,1
13265,5,2107.66,53,0
13266,19,6135.04,11,0
13267,36,9758.26,3,0
13268,11,3214.69,18,0
13269,28,8891.7,1,0
13270,1,1180.0,366,1
13271,1,217.38,37,0
13272,2,276.56,31,0
13273,1,138.98,113,1
13274,1,360.85,409,1
13275,2,241.66,384,1
13276,5,1939.26,64,0
13277,7,523.3,16,0
13278,4,1435.85,41,0
13279,1,137.75,78,0
13280,7,2322.63,122,1
13281,1,350.85,439,1
13282,4,1313.19,18,0
13283,4,373.36,60,0
13284,1,201.19,331,1
13285,6,3364.59,23,0
13286,1,734.91,600,1
13287,3,781.59,603,1
13288,5,927.61,443,1
13289,1,307.95,724,1
13290,1,208.63,438,1
13291,11,3320.84,156,1
13292,5,994.51,39,0
13293,6,1192.94,392,1
13294,3,1689.53,190,1
13295,4,1101.97,360,1
13296,6,792.51,137,1
13297,7,4368.62,8,0
13298,1,360.0,1,0
13299,3,1218.7,268,1
13300,3,1285.51,169,1
13301,4,618.09,104,1
13302,2,159.2,155,1
13303,1,61.72,400,1
13304,4,1217.99,351,1
13305,16,3754.71,4,0
13306,1,53.65,430,1
13307,3,273.34,120,1
13308,4,1670.3700000000001,23,0
13309,6,1706.3700000000001,7,0
13310,5,1541.2,28,0
13311,2,598.57,4,0
13312,1,124.75,451,1
13313,12,3445.32,22,0
13314,3,775.94,2,0
13315,1,310.26,689,1
13316,10,13191.57,37,0
13317,19,6486.091,66,0
13318,3,640.76,1,0
13319,58,22082.5,5,0
13320,6,2228.1,78,0
13321,2,567.36,72,0
13322,1,199.48000000000002,17,0
13323,5,787.85,3,0
13324,18,10513.47,36,0
13325,1,675.3,82,0
13326,1,281.76,432,1
13327,20,9879.48,39,0
13328,1,1308.48,316,1
13329,8,5112.97,32,0
13330,6,2806.18,93,1
13331,1,262.4,402,1
13332,1,350.9,14,0
13333,3,1015.74,411,1
13334,5,6263.75,82,0
13336,1,795.12,77,0
13337,1,1575.26,546,1
13338,4,2445.62,158,1
13339,1,860.12,201,1
13340,12,22100.56,45,0
13341,1,775.85,261,1
13343,1,353.43,178,1
13344,3,2543.72,68,0
13345,1,389.5,288,1
13346,6,299.4,463,1
13347,1,341.36,70,0
13348,1,233.76,64,0
13349,1,247.32,11,0
13350,2,979.12,16,0
13351,1,373.94,66,0
13352,1,397.97999999999996,60,0
13354,1,743.53,71,0
13355,1,674.7,122,1
13356,1,768.24,80,0
13357,5,3838.36,257,1
13358,1,439.03,269,1
13359,2,1043.31,64,0
13360,4,1553.65,432,1
13361,2,1450.5,472,1
13362,7,5394.07,9,0
